timestamps,TP9,AF7,AF8,TP10,Right AUX
1700209055.082,15.625,-66.406,-30.762,32.227,0.000
1700209055.086,26.855,-58.105,-31.738,34.180,0.000
1700209055.089,64.941,-59.082,-30.273,49.805,0.000
1700209055.093,60.547,-61.035,-32.227,39.062,0.000
1700209055.097,20.020,-66.895,-35.645,17.090,0.000
1700209055.101,6.836,-74.707,-31.250,19.043,0.000
1700209055.105,40.039,-57.617,-34.668,37.598,0.000
1700209055.109,56.641,-55.664,-34.180,31.738,0.000
1700209055.113,25.879,-62.012,-36.133,9.766,0.000
1700209055.117,-11.719,-57.129,-45.410,-19.043,0.000
1700209055.121,19.043,-61.035,-36.621,1.953,0.000
1700209055.125,53.711,-54.688,-25.879,41.504,0.000
1700209055.129,27.832,-48.828,-26.855,28.320,0.000
1700209055.132,-10.254,-49.316,-22.949,7.812,0.000
1700209055.136,7.324,-51.270,-25.879,10.742,0.000
1700209055.140,55.664,-53.223,-29.297,30.273,0.000
1700209055.144,29.297,-54.199,-28.809,12.207,0.000
1700209055.148,-13.184,-50.293,-26.367,-2.930,0.000
1700209055.152,-2.441,-48.828,-24.902,9.277,0.000
1700209055.156,32.227,-52.246,-28.320,20.508,0.000
1700209055.160,38.086,-53.711,-27.832,16.602,0.000
1700209055.164,5.371,-51.758,-24.414,4.395,0.000
1700209055.168,-10.254,-52.734,-23.926,-1.953,0.000
1700209055.171,26.367,-53.711,-21.484,8.301,0.000
1700209055.175,42.480,-46.875,-21.973,15.137,0.000
1700209055.179,15.137,-38.574,-22.949,-5.371,0.000
1700209055.183,-18.555,-48.828,-17.090,-19.043,0.000
1700209055.187,1.953,-59.082,-16.602,4.395,0.000
1700209055.191,38.574,-47.852,-17.090,20.020,0.000
1700209055.195,11.719,-45.898,-21.973,8.301,0.000
1700209055.199,-34.180,-54.688,-26.367,-18.066,0.000
1700209055.203,-35.645,-57.129,-29.297,-27.832,0.000
1700209055.207,5.371,-46.875,-27.832,-0.977,0.000
1700209055.211,0.488,-52.734,-29.297,-2.930,0.000
1700209055.214,-40.527,-55.664,-32.227,-25.879,0.000
1700209055.218,-43.457,-49.805,-34.180,-31.250,0.000
1700209055.222,-9.277,-58.105,-32.715,-10.254,0.000
1700209055.226,8.301,-61.035,-26.855,1.953,0.000
1700209055.230,-24.414,-49.316,-28.320,-19.531,0.000
1700209055.234,-47.852,-47.852,-25.391,-33.203,0.000
1700209055.238,-12.695,-52.734,-26.855,-19.531,0.000
1700209055.242,-3.418,-50.781,-34.668,-18.066,0.000
1700209055.246,-25.879,-51.758,-34.668,-29.785,0.000
1700209055.250,-49.805,-49.316,-32.715,-36.133,0.000
1700209055.253,-43.457,-49.805,-33.691,-35.645,0.000
1700209055.257,-0.977,-51.270,-31.250,-21.973,0.000
1700209055.261,-9.277,-45.898,-28.809,-20.508,0.000
1700209055.265,-50.293,-46.387,-31.250,-44.434,0.000
1700209055.269,-38.086,-46.387,-32.227,-34.180,0.000
1700209055.273,7.812,-50.781,-27.344,-3.418,0.000
1700209055.277,5.859,-41.016,-29.785,-10.742,0.000
1700209055.281,-38.086,-31.250,-31.738,-30.273,0.000
1700209055.285,-60.059,-44.434,-32.227,-42.480,0.000
1700209055.289,-17.578,-41.992,-32.715,-28.320,0.000
1700209055.293,2.441,-38.086,-29.297,-13.672,0.000
1700209055.296,-32.227,-50.293,-24.902,-19.043,0.000
1700209055.300,-52.246,-59.570,-25.391,-27.344,0.000
1700209055.304,-26.367,-51.270,-31.738,-26.367,0.000
1700209055.308,6.348,-42.969,-28.320,-8.789,0.000
1700209055.312,-10.742,-42.480,-25.879,-4.883,0.000
1700209055.316,-59.570,-53.711,-28.320,-30.273,0.000
1700209055.320,-46.875,-55.176,-28.809,-32.227,0.000
1700209055.324,-0.977,-38.086,-26.367,-7.812,0.000
1700209055.328,-13.184,-42.480,-34.180,-9.766,0.000
1700209055.332,-50.781,-48.828,-29.297,-31.250,0.000
1700209055.336,-53.711,-50.293,-22.949,-39.551,0.000
1700209055.339,-13.184,-52.734,-35.645,-20.020,0.000
1700209055.343,-0.977,-48.340,-33.203,-5.859,0.000
1700209055.347,-35.645,-44.434,-37.598,-24.902,0.000
1700209055.351,-55.176,-42.969,-36.133,-39.551,0.000
1700209055.355,-14.648,-48.340,-29.297,-21.484,0.000
1700209055.359,2.441,-49.805,-32.227,-12.695,0.000
1700209055.363,-31.738,-52.734,-32.715,-22.461,0.000
1700209055.367,-55.664,-49.805,-29.297,-29.297,0.000
1700209055.371,-20.996,-41.504,-22.461,-21.973,0.000
1700209055.375,6.836,-37.598,-20.020,-8.301,0.000
1700209055.378,-25.391,-33.691,-21.973,-21.484,0.000
1700209055.382,-54.199,-36.133,-20.996,-33.691,0.000
1700209055.386,-33.203,-40.039,-19.043,-27.344,0.000
1700209055.390,-1.465,-41.504,-17.090,-22.949,0.000
1700209055.394,-14.160,-45.898,-18.066,-17.090,0.000
1700209055.398,-44.922,-48.828,-22.461,-36.621,0.000
1700209055.402,-45.410,-52.734,-18.066,-41.016,0.000
1700209055.406,-1.465,-47.852,-17.578,-4.395,0.000
1700209055.410,0.977,-44.922,-25.391,-15.625,0.000
1700209055.414,-32.227,-47.852,-21.973,-31.738,0.000
1700209055.418,-43.945,-39.062,-17.578,-35.156,0.000
1700209055.421,-14.648,-34.180,-17.090,-22.461,0.000
1700209055.425,5.371,-39.062,-17.090,-12.695,0.000
1700209055.429,-29.297,-41.992,-24.414,-31.738,0.000
1700209055.433,-57.617,-45.898,-23.926,-34.668,0.000
1700209055.437,-25.391,-46.387,-20.020,-27.344,0.000
1700209055.441,2.930,-42.480,-16.602,-22.949,0.000
1700209055.445,-20.020,-44.922,-16.113,-28.809,0.000
1700209055.449,-51.758,-35.156,-20.020,-44.434,0.000
1700209055.453,-40.039,-35.156,-21.973,-42.969,0.000
1700209055.457,-0.977,-42.480,-21.973,-28.320,0.000
1700209055.461,2.930,-35.156,-22.461,-17.578,0.000
1700209055.464,-37.598,-35.645,-27.344,-27.832,0.000
1700209055.468,-52.734,-38.574,-27.344,-32.227,0.000
1700209055.472,-2.930,-33.691,-21.973,-20.508,0.000
1700209055.476,8.301,-37.109,-21.484,-17.090,0.000
1700209055.480,-30.273,-49.805,-19.043,-20.508,0.000
1700209055.484,-51.270,-52.734,-22.461,-30.273,0.000
1700209055.488,-18.066,-37.109,-25.391,-21.484,0.000
1700209055.492,3.418,-34.180,-24.414,-14.648,0.000
1700209055.496,-20.508,-49.316,-24.902,-24.414,0.000
1700209055.500,-45.410,-42.480,-24.414,-33.691,0.000
1700209055.504,-30.273,-39.062,-22.461,-28.320,0.000
1700209055.507,0.977,-41.992,-18.066,-14.160,0.000
