timestamps,TP9,AF7,AF8,TP10,Right AUX
1700204132.720,-43.457,-41.016,-28.320,-158.691,0.000
1700204132.724,-243.164,-36.621,-28.320,-230.957,0.000
1700204132.728,-46.875,-30.762,-25.391,12.207,0.000
1700204132.732,133.789,-31.738,-20.020,107.422,0.000
1700204132.735,8.789,-37.598,-18.555,-79.590,0.000
1700204132.739,-245.605,-36.621,-19.531,-247.559,0.000
1700204132.743,-125.977,-37.109,-29.785,-72.266,0.000
1700204132.747,117.188,-39.062,-33.203,94.238,0.000
1700204132.751,89.844,-32.227,-32.227,-41.016,0.000
1700204132.755,-181.152,-34.668,-31.250,-258.301,0.000
1700204132.759,-189.941,-39.062,-26.855,-146.973,0.000
1700204132.763,70.312,-37.109,-29.297,77.637,0.000
1700204132.767,124.512,-34.668,-28.320,16.113,0.000
1700204132.771,-105.957,-34.668,-25.879,-195.312,0.000
1700204132.774,-222.168,-34.180,-28.809,-175.781,0.000
1700204132.778,4.883,-34.180,-29.297,75.684,0.000
1700204132.782,121.582,-33.691,-28.320,78.613,0.000
1700204132.786,-45.898,-35.156,-25.391,-114.258,0.000
1700204132.790,-258.789,-35.645,-19.531,-198.730,0.000
1700204132.794,-78.125,-31.250,-21.484,21.484,0.000
1700204132.798,131.836,-31.738,-31.738,119.629,0.000
1700204132.802,34.668,-34.668,-33.203,-62.988,0.000
1700204132.806,-237.793,-39.551,-27.344,-226.074,0.000
1700204132.810,-159.180,-44.434,-28.809,-55.664,0.000
1700204132.814,98.145,-41.504,-30.273,118.652,0.000
1700204132.817,95.703,-40.527,-29.297,11.719,0.000
1700204132.821,-159.668,-42.969,-34.180,-188.965,0.000
1700204132.825,-191.406,-39.551,-35.156,-108.398,0.000
1700204132.829,59.082,-39.062,-31.738,114.258,0.000
1700204132.833,137.695,-38.086,-26.855,75.195,0.000
1700204132.837,-87.891,-35.156,-29.785,-143.066,0.000
1700204132.841,-232.910,-35.645,-29.297,-173.340,0.000
1700204132.845,4.883,-37.598,-21.484,68.848,0.000
1700204132.849,166.016,-35.645,-21.484,101.562,0.000
1700204132.853,15.137,-32.715,-29.785,-96.191,0.000
1700204132.857,-216.797,-35.156,-32.227,-211.914,0.000
1700204132.860,-61.523,-35.645,-23.926,0.977,0.000
1700204132.864,153.809,-35.645,-21.484,122.070,0.000
1700204132.868,78.125,-38.086,-27.832,-55.176,0.000
1700204132.872,-191.406,-39.062,-23.438,-230.469,0.000
1700204132.876,-134.277,-38.086,-18.066,-67.871,0.000
1700204132.880,120.605,-39.062,-19.043,132.812,0.000
1700204132.884,128.906,-38.574,-21.484,39.062,0.000
1700204132.888,-120.605,-33.203,-22.461,-174.316,0.000
1700204132.892,-192.383,-33.203,-20.508,-127.441,0.000
1700204132.896,47.852,-34.180,-24.414,105.957,0.000
1700204132.899,144.531,-32.715,-30.762,81.055,0.000
1700204132.903,-47.363,-31.250,-29.785,-129.395,0.000
1700204132.907,-219.727,-33.691,-36.133,-177.246,0.000
1700204132.911,-20.508,-33.691,-31.738,50.781,0.000
1700204132.915,140.625,-36.621,-25.391,104.004,0.000
1700204132.919,2.441,-40.039,-32.227,-102.051,0.000
1700204132.923,-244.629,-39.551,-33.691,-239.258,0.000
1700204132.927,-105.469,-33.203,-30.762,-26.855,0.000
1700204132.931,135.254,-30.273,-31.250,119.141,0.000
1700204132.935,74.707,-40.527,-33.203,-34.180,0.000
1700204132.939,-203.613,-42.969,-34.180,-222.168,0.000
1700204132.942,-180.176,-43.945,-28.320,-100.098,0.000
1700204132.946,83.984,-40.527,-25.391,94.238,0.000
1700204132.950,121.582,-33.203,-30.273,18.555,0.000
1700204132.954,-125.000,-35.156,-39.062,-192.383,0.000
1700204132.958,-224.121,-32.715,-40.527,-174.805,0.000
1700204132.962,25.879,-29.785,-30.273,61.523,0.000
1700204132.966,154.297,-30.762,-27.832,68.848,0.000
1700204132.970,-27.832,-35.156,-30.762,-137.207,0.000
1700204132.974,-223.145,-33.691,-30.762,-199.219,0.000
1700204132.978,-36.133,-32.227,-21.973,34.668,0.000
1700204132.982,140.137,-34.180,-18.555,111.816,0.000
1700204132.985,27.344,-34.180,-26.367,-66.895,0.000
1700204132.989,-231.445,-39.062,-25.391,-222.168,0.000
1700204132.993,-123.047,-41.504,-15.137,-40.527,0.000
1700204132.997,123.047,-37.109,-22.461,124.023,0.000
1700204133.001,97.168,-35.645,-29.785,0.488,0.000
1700204133.005,-161.621,-31.738,-27.344,-195.312,0.000
1700204133.009,-170.410,-31.250,-25.391,-97.168,0.000
1700204133.013,82.520,-34.668,-25.391,128.418,0.000
1700204133.017,137.695,-40.527,-31.250,69.336,0.000
1700204133.021,-90.820,-36.133,-34.180,-153.809,0.000
1700204133.024,-213.867,-28.320,-38.086,-155.273,0.000
1700204133.028,16.113,-30.762,-40.039,80.566,0.000
1700204133.032,151.367,-31.250,-37.109,110.840,0.000
1700204133.036,-15.625,-30.762,-35.156,-91.797,0.000
1700204133.040,-237.305,-32.227,-32.715,-208.008,0.000
1700204133.044,-69.824,-29.785,-32.227,12.695,0.000
1700204133.048,127.441,-33.203,-26.367,125.488,0.000
